# gauge_id=     8 location=(   0.8621910E+00 ) num_eqn=  3
# Columns: level time h hu eta
   01  0.3168172E+00  0.1259500E+00 -0.1982450E-16  0.0000000E+00
   01  0.3208025E+00  0.1259500E+00 -0.1994048E-16  0.0000000E+00
   01  0.3247880E+00  0.1259500E+00 -0.2005546E-16  0.0000000E+00
   01  0.3287737E+00  0.1259500E+00 -0.2016942E-16  0.0000000E+00
   01  0.3327594E+00  0.1259500E+00 -0.2028258E-16  0.0000000E+00
   01  0.3367453E+00  0.1259500E+00 -0.2039495E-16  0.0000000E+00
   01  0.3407313E+00  0.1259500E+00 -0.2050640E-16  0.0000000E+00
   01  0.3447174E+00  0.1259500E+00 -0.2061685E-16  0.0000000E+00
   01  0.3487036E+00  0.1259500E+00 -0.2072627E-16  0.0000000E+00
   01  0.3526899E+00  0.1259500E+00 -0.2083464E-16  0.0000000E+00
   01  0.3566764E+00  0.1259500E+00 -0.2094196E-16  0.0000000E+00
   01  0.3606630E+00  0.1259500E+00 -0.2104822E-16  0.0000000E+00
   01  0.3646497E+00  0.1259500E+00 -0.2115342E-16  0.0000000E+00
   01  0.3686364E+00  0.1259500E+00 -0.2125758E-16  0.0000000E+00
   01  0.3726233E+00  0.1259500E+00 -0.2136069E-16  0.0000000E+00
   01  0.3766103E+00  0.1259500E+00 -0.2146277E-16  0.0000000E+00
   01  0.3805974E+00  0.1259500E+00 -0.2156382E-16  0.0000000E+00
   01  0.3845845E+00  0.1259500E+00 -0.2166384E-16  0.0000000E+00
   01  0.3885719E+00  0.1259500E+00 -0.2176285E-16  0.0000000E+00
   01  0.3925592E+00  0.1259500E+00 -0.2186085E-16  0.0000000E+00
   01  0.3965467E+00  0.1259500E+00 -0.2195785E-16  0.0000000E+00
   01  0.4005342E+00  0.1259500E+00 -0.2205386E-16  0.0000000E+00
   01  0.4045219E+00  0.1259500E+00 -0.2214888E-16  0.0000000E+00
   01  0.4085097E+00  0.1259500E+00 -0.2224293E-16  0.0000000E+00
   01  0.4124975E+00  0.1259500E+00 -0.2233601E-16  0.0000000E+00
   01  0.4164854E+00  0.1259500E+00 -0.2242812E-16  0.0000000E+00
   01  0.4204734E+00  0.1259500E+00 -0.2251928E-16  0.0000000E+00
   01  0.4244615E+00  0.1259500E+00 -0.2260949E-16  0.0000000E+00
   01  0.4284496E+00  0.1259500E+00 -0.2269877E-16  0.0000000E+00
   01  0.4324379E+00  0.1259500E+00 -0.2278711E-16  0.0000000E+00
   01  0.4364262E+00  0.1259500E+00 -0.2287453E-16  0.0000000E+00
   01  0.4404146E+00  0.1259500E+00 -0.2296103E-16  0.0000000E+00
   01  0.4444031E+00  0.1259500E+00 -0.2304663E-16  0.0000000E+00
   01  0.4483916E+00  0.1259500E+00 -0.2313133E-16  0.0000000E+00
   01  0.4523803E+00  0.1259500E+00 -0.2321513E-16  0.0000000E+00
   01  0.4563690E+00  0.1259500E+00 -0.2329804E-16  0.0000000E+00
   01  0.4603577E+00  0.1259500E+00 -0.2338008E-16  0.0000000E+00
   01  0.4643466E+00  0.1259500E+00 -0.2346125E-16  0.0000000E+00
   01  0.4683355E+00  0.1259500E+00 -0.2354156E-16  0.0000000E+00
   01  0.4723245E+00  0.1259500E+00 -0.2362101E-16  0.0000000E+00
   01  0.4763135E+00  0.1259500E+00 -0.2369961E-16  0.0000000E+00
   01  0.4803026E+00  0.1259500E+00 -0.2377736E-16  0.0000000E+00
   01  0.4842918E+00  0.1259500E+00 -0.2385429E-16  0.0000000E+00
   01  0.4882811E+00  0.1259500E+00 -0.2393039E-16  0.0000000E+00
   01  0.4922704E+00  0.1259500E+00 -0.2400566E-16  0.0000000E+00
   01  0.4962598E+00  0.1259500E+00 -0.2408013E-16  0.0000000E+00
   01  0.5000000E+00  0.1259500E+00 -0.2415087E-16  0.0000000E+00
   01  0.5039895E+00  0.1259500E+00 -0.2422339E-16  0.0000000E+00
   01  0.5079791E+00  0.1259500E+00 -0.2429544E-16  0.0000000E+00
